#IncidentId;#DateId;_catLMC;_catLMC1;_catLMC2;dtgStartIncident;nrIncident;plaatsNaam;wk_prioriteitIncidentBrandweer;straatnaam;naamLocatie2;postcode;huisPaalNr;_catDagdeel;_catRegio;_lat;_lon
1715523675;20250523;Brand;Natuur;Bos;2025-05-23 23:21:35.0000000;200635;Tilburg;1;Vloeiveldweg;NULL;NULL;NULL;Avond;VRMWB;" 51.5951143351357400";"  5.0603345872287209"
1719142292;20250616;Brand;Natuur;Bos;2025-06-16 00:06:50.0000000;235783;Tilburg;1;Wandelbos;NULL;NULL;NULL;Nacht;VRMWB;" 51.5685213861284950";"  5.0400446619275332"
1714779268;20250519;Brand;Natuur;Bos;2025-05-19 09:22:13.0000000;193466;Tilburg;1;Zwartvensepad;NULL;NULL;NULL;Ochtend;VRMWB;" 51.5651972975624280";"  5.0257774470481840"
832247974;20150317;Brand;Natuur;NULL;2015-03-17 19:36:41.0000000;58746;Tilburg;1;Nieuwe Lijn;NULL;NULL;NULL;Avond;VRMWB;" 51.5577270000000000";"  4.9836179999999999"
841817621;20150812;Brand;Natuur;NULL;2015-08-12 12:41:42.0000000;180869;Tilburg;1;Gilzerbaan;De Siptenpad;NULL;NULL;Middag;VRMWB;" 51.5510039999999990";"  5.0026370000000000"
837614950;20150610;Brand;Natuur;NULL;2015-06-10 18:41:56.0000000;126362;Tilburg;1;Oude Rielsebaan;NULL;NULL;NULL;Avond;VRMWB;" 51.5636930000000010";"  4.9908330000000003"
837358363;20150606;Brand;Natuur;NULL;2015-06-06 20:25:59.0000000;123105;Tilburg;1;Reeshofdijk;NULL;NULL;NULL;Avond;VRMWB;" 51.5737919999999970";"  5.0140560000000001"
838730372;20150627;Brand;Natuur;NULL;2015-06-27 23:27:02.0000000;140863;Tilburg;1;Oude Rielsebaan;NULL;NULL;NULL;Avond;VRMWB;" 51.5540469999999970";"  5.0038950000000000"
838755702;20150628;Brand;Natuur;NULL;2015-06-28 09:35:30.0000000;141224;Tilburg;1;Oude Rielsebaan;NULL;NULL;NULL;Ochtend;VRMWB;" 51.5448170000000020";"  5.0212279999999998"
857090515;20160321;Brand;Natuur;NULL;2016-03-21 15:57:34.0000000;64174;Tilburg;1;Diepenveenstraat;NULL;NULL;NULL;Middag;VRMWB;" 51.5733400000000020";"  5.0160650000000002"
811413482;20140617;Brand;Natuur;NULL;2014-06-17 16:35:53.0000000;125016;Tilburg;1;Bredaseweg;NULL;5036NA;469;Middag;VRMWB;" 51.5627190000000010";"  5.0116810000000003"
861552487;20160521;Brand;Natuur;NULL;2016-05-21 21:22:22.0000000;116617;Tilburg;1;Reeshofweg;Vossenhole;5044VC;55;Avond;VRMWB;" 51.5696790000000010";"  4.9933779999999999"
860623894;20160508;Brand;Natuur;NULL;2016-05-08 17:46:57.0000000;105200;Tilburg;1;Witbrantlaan West;NULL;NULL;NULL;Middag;VRMWB;" 51.5697520000000010";"  4.9991029999999999"
861167114;20160516;Brand;Natuur;NULL;2016-05-16 12:38:05.0000000;111900;Tilburg;1;Puttendijk;NULL;NULL;NULL;Middag;VRMWB;" 51.5471480000000000";"  5.0081340000000001"
860591465;20160508;Brand;Natuur;NULL;2016-05-08 08:12:36.0000000;104798;Tilburg;1;Daniel de Brouwerstraat;NULL;5032VH;7;Ochtend;VRMWB;" 51.5592589999999970";"  5.0064029999999997"
1016619077;20200604;Brand;Natuur;NULL;2020-06-04 20:24:22.0000000;134526;Tilburg;1;Top Naeffdreef;NULL;NULL;NULL;Avond;VRMWB;" 51.5739099999999980";"  5.0288120000000003"
1433899453;20200817;Brand;Natuur;Bos;2020-08-17 15:15:06.0000000;289894;Tilburg;1;Reeshofbos;NULL;NULL;NULL;Middag;VRMWB;" 51.5749609795662140";"  5.0065714751265222"
1014090761;20200504;Brand;Natuur;Riet;2020-05-04 20:06:52.0000000;106288;Tilburg;1;Voldijk;NULL;NULL;NULL;Avond;VRMWB;" 51.5982210000000020";"  4.9887860000000002"
886956112;20170508;Brand;Natuur;NULL;2017-05-08 23:05:14.0000000;108048;Tilburg;1;Witbrantlaan West;NULL;NULL;NULL;Avond;VRMWB;" 51.5694050000000030";"  4.9947070000000000"
1013095215;20200421;Brand;Natuur;NULL;2020-04-21 19:39:19.0000000;94849;Tilburg;1;Puttendijk;NULL;NULL;NULL;Avond;VRMWB;" 51.5410520000000010";"  5.0020439999999997"
1013545460;20200427;Brand;Natuur;NULL;2020-04-27 12:22:22.0000000;100162;Tilburg;1;Heidebaan;NULL;NULL;NULL;Middag;VRMWB;" 51.5409530000000020";"  5.0021019999999998"
1436930041;20200912;Brand;Natuur;Bos;2020-09-12 20:59:46.0000000;321611;Tilburg;1;Reeshofbos;NULL;NULL;NULL;Avond;VRMWB;" 51.5737088679012530";"  5.0112989926602172"
1016162784;20200530;Brand;Natuur;NULL;2020-05-30 10:46:10.0000000;129191;Tilburg;1;Reeshofweg;NULL;NULL;NULL;Ochtend;VRMWB;" 51.5680479999999970";"  4.9949640000000004"
982798264;20190708;Brand;Natuur;NULL;2019-07-08 19:53:47.0000000;160718;Tilburg;2;Wilhelminakanaal;NULL;NULL;NULL;Avond;VRMWB;" 51.5852140000000010";"  5.0248710000000001"
988483288;20190922;Brand;Natuur;NULL;2019-09-22 15:20:17.0000000;226876;Tilburg;1;Wandelpad;NULL;NULL;NULL;Middag;VRMWB;" 51.5686850000000020";"  5.0400320000000001"
986340861;20190825;Brand;Natuur;NULL;2019-08-25 13:03:32.0000000;202452;Tilburg;1;Reeshofdijk;NULL;NULL;NULL;Middag;VRMWB;" 51.5762160000000020";"  5.0077759999999998"
