,#IncidentId,#DateId,_catLMC,_catLMC1,_catLMC2,dtgStartIncident,nrIncident,plaatsNaam,wk_prioriteitIncidentBrandweer,straatnaam,naamLocatie2,postcode,huisPaalNr,_catDagdeel,_catRegio,_lat,_lon
41,886779468,20170506,Brand,Natuur,,2017-05-06 20:30:51.0000000,106125,Bergen op Zoom,1,Ruytershoveweg,,,,Avond,VRMWB,51.500489,4.323073
42,890228454,20170619,Brand,Natuur,,2017-06-19 12:19:48.0000000,148971,Bergen op Zoom,1,Oude Huijbergsebaan,,,,Middag,VRMWB,51.478399,4.312966
43,890681219,20170624,Brand,Natuur,,2017-06-24 17:19:11.0000000,154577,Bergen op Zoom,1,Oscar van Hemelpark,,,,Middag,VRMWB,51.506671,4.288861
44,890595470,20170623,Brand,Natuur,,2017-06-23 17:25:03.0000000,153391,Bergen op Zoom,1,Kleine Melanen,,,,Middag,VRMWB,51.512977,4.291216
45,890832076,20170626,Brand,Natuur,,2017-06-26 14:37:09.0000000,156538,Bergen op Zoom,1,Balsedreef,'t Appeltje,4623RA,5.0,Middag,VRMWB,51.487377,4.325381
46,888221168,20170525,Brand,Natuur,,2017-05-25 16:07:27.0000000,123483,Bergen op Zoom,1,Kijk in de Pot,,,,Middag,VRMWB,51.490084,4.282911
47,888213274,20170525,Brand,Natuur,,2017-05-25 14:29:25.0000000,123390,Bergen op Zoom,1,Hildernisse,,,,Middag,VRMWB,51.461689,4.293688
48,889893357,20170615,Brand,Natuur,,2017-06-15 13:06:45.0000000,144710,Bergen op Zoom,1,Boslustweg,,,,Middag,VRMWB,51.478732,4.336639
49,1605061117,20230603,Brand,Natuur,Bos,2023-06-03 17:55:08.0000000,190321,Meerle Belgie,1,Oosteneind,,,,Middag,VRMWB,51.47662939139856,4.840317467174299
50,983980355,20190724,Brand,Natuur,,2019-07-24 15:38:32.0000000,174440,Breda,1,Bouvignelaan,,,,Middag,VRMWB,51.562331,4.781977
51,983767565,20190721,Brand,Natuur,Bos,2019-07-21 21:01:31.0000000,171922,Breda,1,Marellenweg,,,,Avond,VRMWB,51.539434,4.752718
52,711347957,20110310,Brand,Natuur,,2011-03-10 19:51:30.0000000,45578,Breda,1,GROOT YPELAARDREEF,PRISMA,4834HD,18.0,Avond,VRMWB,51.574549,4.801938
53,720125478,20111113,Brand,Natuur,,2011-11-13 15:04:28.0000000,220437,Breda,1,NASSAUSINGEL,PI BREDA,4811DG,26.0,Middag,VRMWB,51.590175,4.788316
54,799698553,20140420,Brand,Natuur,,2014-04-20 13:13:11.0000000,79362,Breda,1,GALDERSEWEG,DE 7 HEUVELTJES,4836AC,27.0,Middag,VRMWB,51.554144,4.780644
55,799533390,20140417,Brand,Natuur,,2014-04-17 17:41:59.0000000,77168,Breda,1,GALDERSEWEG,,4836AC,27.0,Middag,VRMWB,51.553215,4.779993
56,812342809,20140703,Brand,Natuur,,2014-07-03 13:34:12.0000000,136963,Bavel,1,Abdij van Thornstraat,,,,Middag,VRMWB,51.56995,4.83197
57,1707192545,20250331,Brand,Natuur,Bos,2025-03-31 16:30:01.0000000,121620,Baarle-Nassau,1,Boschovenpad,,5111XJ,0.0,Middag,VRMWB,51.45458625105763,4.9249935782530905
58,1710347617,20250419,Brand,Natuur,Bos,2025-04-19 21:11:47.0000000,150413,Baarle-Nassau,1,Reth,,5111HC,22.0,Avond,VRMWB,51.430306728646976,4.938612942749783
59,1710648952,20250422,Brand,Natuur,Akker/Weide,2025-04-22 07:16:42.0000000,153385,Baarle-Nassau,1,Driehuizen,,,,Ochtend,VRMWB,51.457927107784485,4.969520876160331
60,1707222700,20250331,Brand,Natuur,Riet,2025-03-31 19:32:04.0000000,121889,Andel,1,Hoge Maasdijk,,,0.0,Avond,VRMWB,51.77756522570626,5.07733004537579
61,1436361859,20200907,Brand,Natuur,Bos,2020-09-07 15:01:11.0000000,315303,Alphen,2,Maastrichtsebaan,,,,Middag,VRMWB,51.512527589505446,4.907089141408521
62,1015213333,20200518,Brand,Natuur,Bos,2020-05-18 14:11:44.0000000,118320,Alphen,1,Fransebaan,Munitiedepot Alphen,5131NJ,1.0,Middag,VRMWB,51.495754,4.926494
63,954834170,20180805,Brand,Natuur,,2018-08-05 18:56:28.0000000,196084,Alphen,1,Oude Gilzerbaan,Fransebaan,,,Avond,VRMWB,51.503555,4.937606
64,1432777833,20200808,Brand,Natuur,Bos,2020-08-08 14:20:44.0000000,276517,Hoogerheide,1,Bloempjesvendreef,,,,Middag,VRMWB,51.451732,4.327191
65,1535466465,20220718,Brand,Natuur,,2022-07-18 18:17:48.0000000,250575,Hilvarenbeek,1,Beekse Bergen,,,,Avond,VRMWB,51.529476886174216,5.1234801891009925
66,976948733,20190423,Brand,Natuur,,2019-04-23 21:26:19.0000000,94245,Hilvarenbeek,1,Nestven,,5081XT,2.0,Avond,VRMWB,51.498901,5.101266
67,1470242108,20210417,Brand,Natuur,,2021-04-17 11:00:09.0000000,116960,Haghorst,1,Emmerseweg,,,,Ochtend,VRMWB,51.49168145971193,5.2044777861481695
68,860587162,20160508,Brand,Natuur,,2016-05-08 05:14:07.0000000,104751,Breda,1,Galderseweg,,,,Nacht,VRMWB,51.534048,4.772596
69,838633779,20150626,Brand,Natuur,,2015-06-26 17:34:23.0000000,139573,Breda,1,Achter Emer,,,,Middag,VRMWB,51.61493,4.755791
70,712990449,20110426,Brand,Natuur,,2011-04-26 10:42:02.0000000,79211,Breda,1,GALDERSEWEG,HEY-ACKER DEN,4836AB,7.0,Ochtend,VRMWB,51.55528,4.781278
71,714911118,20110619,Brand,Natuur,,2011-06-19 20:43:13.0000000,118315,Breda,1,BREDESTRAAT,,,,Avond,VRMWB,51.621008,4.723605
72,1604799335,20230601,Brand,Natuur,,2023-06-01 18:39:59.0000000,187716,Oisterwijk,1,Rosepdreef,Hotel De Blauwe Kei,5062TB,4.0,Avond,VRMWB,51.563754214740726,5.223960451476727
73,1439166825,20200924,Brand,Natuur,Bos,2020-09-24 16:59:35.0000000,336252,Oisterwijk,1,Kuiperstraat,,,,Middag,VRMWB,51.58361368663556,5.213991349867505
74,799875159,20140423,Brand,Natuur,,2014-04-23 16:23:52.0000000,81562,Oisterwijk,1,KIEVITSBLEKWEG,,,,Middag,VRMWB,51.583687,5.232938
75,712968282,20110425,Brand,Natuur,,2011-04-25 18:32:45.0000000,78761,Oisterwijk,1,POSTHOORNSEWEG,,,,Avond,VRMWB,51.582149,5.239191
76,952364548,20180716,Brand,Natuur,,2018-07-16 06:38:35.0000000,175766,Molenschot,1,Veenstraat,Taxandria Molenschot,5124NC,89.0,Ochtend,VRMWB,51.582156,4.887556
77,952330409,20180715,Brand,Natuur,,2018-07-15 19:30:35.0000000,175379,Molenschot,1,Molenschotsebaan,Linberg Park,5124NG,21.0,Avond,VRMWB,51.576446,4.893433
78,951788796,20180708,Brand,Natuur,,2018-07-08 17:06:32.0000000,168910,Molenschot,1,Raakeindse Kerkweg,,,,Middag,VRMWB,51.559593,4.891467
79,951566864,20180705,Brand,Natuur,,2018-07-05 20:31:46.0000000,166161,Molenschot,1,Raakeindse Kerkweg,,,,Avond,VRMWB,51.559668,4.890226
80,1013996183,20200503,Brand,Natuur,,2020-05-03 16:30:52.0000000,105326,Moergestel,1,Heiligenboom,,,,Middag,VRMWB,51.556656,5.20047
81,946505666,20180506,Brand,Natuur,,2018-05-06 16:04:46.0000000,109598,Moergestel,1,Heukelomsebaan,,,,Middag,VRMWB,51.557184,5.163308
82,1712511084,20250504,Brand,Natuur,,2025-05-04 07:23:48.0000000,171494,Loon op Zand,1,Baden Powellweg,,,,Ochtend,VRMWB,51.64571893998743,5.101045386126107
83,1545497028,20220723,Brand,Natuur,,2022-07-23 21:22:54.0000000,258180,Zevenbergen,2,Havendijk,,,,Avond,VRMWB,51.662890620169776,4.606547986338189
84,976240224,20190414,Brand,Natuur,,2019-04-14 11:13:17.0000000,85308,Breda,1,Overasepad,,,,Ochtend,VRMWB,51.554465,4.743078
