date,count
2011-01-20,True
2011-03-10,True
2011-03-21,True
2011-03-23,True
2011-03-25,True
2011-03-28,True
2011-04-03,True
2011-04-06,True
2011-04-07,True
2011-04-08,True
2011-04-09,True
2011-04-16,True
2011-04-23,True
2011-04-25,True
2011-04-26,True
2011-04-27,True
2011-04-30,True
2011-05-01,True
2011-05-04,True
2011-05-08,True
2011-05-13,True
2011-05-15,True
2011-05-20,True
2011-05-25,True
2011-05-28,True
2011-05-31,True
2011-06-03,True
2011-06-19,True
2011-07-01,True
2011-08-07,True
2011-08-17,True
2011-10-03,True
2011-10-29,True
2011-11-13,True
2011-12-10,True
2012-01-21,True
2012-03-20,True
2012-03-21,True
2012-03-22,True
2012-03-24,True
2012-05-08,True
2012-05-27,True
2012-05-29,True
2012-05-31,True
2012-06-06,True
2012-06-07,True
2012-06-22,True
2012-08-10,True
2012-08-12,True
2012-08-13,True
2012-08-17,True
2012-09-07,True
2012-09-08,True
2012-09-14,True
2012-10-14,True
2012-10-23,True
2012-11-16,True
2012-11-26,True
2012-12-23,True
2013-02-21,True
2013-03-11,True
2013-03-27,True
2013-04-01,True
2013-04-02,True
2013-04-03,True
2013-04-04,True
2013-04-06,True
2013-04-07,True
2013-04-08,True
2013-04-18,True
2013-04-20,True
2013-04-21,True
2013-04-22,True
2013-04-23,True
2013-04-24,True
2013-04-25,True
2013-04-27,True
2013-05-01,True
2013-05-06,True
2013-05-07,True
2013-05-09,True
2013-05-11,True
2013-06-15,True
2013-06-22,True
2013-07-11,True
2013-07-14,True
2013-07-16,True
2013-07-21,True
2013-09-02,True
2014-03-08,True
2014-03-10,True
2014-03-13,True
2014-03-15,True
2014-03-20,True
2014-04-02,True
2014-04-03,True
2014-04-10,True
2014-04-17,True
2014-04-19,True
2014-04-20,True
2014-04-23,True
2014-04-26,True
2014-04-28,True
2014-04-30,True
2014-05-04,True
2014-05-21,True
2014-06-17,True
2014-06-20,True
2014-06-25,True
2014-06-28,True
2014-07-03,True
2014-07-06,True
2014-07-18,True
2014-07-27,True
2014-08-07,True
2014-09-04,True
2014-09-14,True
2015-03-08,True
2015-03-13,True
2015-03-17,True
2015-03-22,True
2015-03-24,True
2015-03-31,True
2015-04-10,True
2015-04-14,True
2015-04-17,True
2015-04-18,True
2015-04-19,True
2015-04-20,True
2015-04-29,True
